slug,baslik,koleksiyon,eski_sorgu
fracastoro-homocentrica-dokuzuncu-sekizinci-kure,Homocentrica: Dokuzuncu ve Sekizinci Kürenin Devinimi Üzerine,Kozmoloji,fracastoro homocentrica
cosmas-indicopleustes-hristiyan-topografyasi-cadir-evren,Hristiyan Topografyası: Çadır ve Evrenin Sureti,Kozmoloji,cosmas indicopleustes
apian-cosmographia-nedir,Kozmografya Nedir,Kozmoloji,apian cosmographia
macrobius-scipio-ruyasi-serhi-kurelerin-uyumu,Kürelerin Uyumu: Göklerin Sesi Üzerine,Kozmoloji,macrobius scipio
gilbert-de-magnete-miknatisin-ruhu,Mıknatısın Ruhu Üzerine,Kozmoloji,gilbert magnete
telesio-nesnelerin-dogasi-uzerine-canli-evren,Nesnelerin Doğasına Duyu Verildiğinde: Yaşayan Evren,Kozmoloji,telesio nesnelerin
aratos-phainomena-zeus-ile-baslayalim,Phainomena: Zeus ile Başlayalım,Kozmoloji,aratos phainomena
philolaos-sayi-ve-kozmos,Philolaos: Sayı ve Kozmos,Kozmoloji,philolaos sayi
ramon-llull-ars-brevis-ilahi-bilginin-sureti,"Ramon Llull, Ars Brevis: İlahi Bilginin Sureti Olan Sanat",Kozmoloji,ramon llull
cicero-scipionun-ruyasi-kurelerin-uyumu,Scipio&#x27;nun Rüyası: Kürelerin Uyumu,Kozmoloji,cicero scipionun
sabunde-dogal-teoloji-yaratiklar-kitabi,Yaratıkların Kitabı: Tek Ustanın Kanıtı,Kozmoloji,sabunde dogal
tycho-astronomi-alistirmalari,Yenilenmiş Astronominin Alıştırmaları,Kozmoloji,tycho astronomi
sacrobosco-de-sphaera-yerin-yuvarlakligi,Yerin Yuvarlaklığı Üzerine,Kozmoloji,sacrobosco sphaera
burnet-yeryuzunun-kutsal-kurami,Yeryüzünün Kutsal Kuramı,Kozmoloji,burnet yeryuzunun
galileo-yildiz-habercisi,Yıldız Habercisi,Kozmoloji,galileo yildiz
biruni-kadim-milletlerin-kronolojisi-yilin-tabiati,Yılın Tabiatı Üzerine: Güneşin Dönüşü ve Gözlemin Alçakgönüllülüğü,Kozmoloji,biruni kadim
conchesli-william-dunyanin-felsefesi-zit-unsurlar-ve-yaratici,Zıt Unsurlardan Kurulan Dünya ve Onu Düzene Koyan Bilgelik,Kozmoloji,conchesli william
cardano-incelik,İncelik Üzerine,Kozmoloji,cardano incelik
cardano-inceligin-kitabi-unsurlar-ve-formlar,"İnceliğin Kitabı: Unsurlar, Biçimler ve Evrenin Düzeni",Kozmoloji,cardano inceligin
seylerin-tabiati-sicaklik-soguk-madde-telesio-gelenegi,"Şeylerin Tabiatı: Sıcaklık, Soğukluk ve Madde",Kozmoloji,seylerin tabiati
proklos-euclid-serhi-geometri-ve-ruhun-uc-dairesi,Geometri ve Ruh: Üç Dairenin Sırrı,Kutsal Geometri ve Mimari,proklos euclid
serlio-birinci-kitap-geometri-kutsal-formlar,Kusursuz Dairenin Merkezi: Serlio ve Mimarinin İlk Biçimleri,Kutsal Geometri ve Mimari,serlio birinci
kyros-bahcesi-quincunx-gokyuzunun-kutsal-geometrisi,Kyros Bahçesi: Quincunx ve Göğün Şehrinin Mistik Matematiği,Kutsal Geometri ve Mimari,kyros bahcesi
alberti-mimarlik,Mimarlık Üzerine,Kutsal Geometri ve Mimari,alberti mimarlik
vitruvius-mimarlik,Mimarlık Üzerine On Kitap,Kutsal Geometri ve Mimari,vitruvius mimarlik
di-giorgio-mimarlik-incelemesi-vitruvius-orantilari,Mimarlık İncelemesi: Vitruvius Zincirinde Güzelliğin Kanunları,Kutsal Geometri ve Mimari,giorgio mimarlik
palladio-mimarligin-dort-kitabi-guzellik-oran,"Mimarlığın Dört Kitabı: Güzellik, Bütünün Parçalarla Uyumundan Doğar",Kutsal Geometri ve Mimari,palladio mimarligin
boethius-muzik,Müziğin İlkeleri Üzerine,Kutsal Geometri ve Mimari,boethius muzik
nicomachus-aritmetige-giris-kurelerin-muzigi,Ruhu Uyandıran Dört Bilim ve Sayının Önceliği,Kutsal Geometri ve Mimari,nicomachus aritmetige
theon-smyrna-matematik-platon-delos-sunagi,Tanrının Buyurduğu Sunak: Geometriyi Küçümseyen Yunanlılara Bir Sitem,Kutsal Geometri ve Mimari,theon smyrna
euclid-elements-geometry-definitions,Öğeler: Geometrinin İlk Tanımları,Kutsal Geometri ve Mimari,euclid elements
pacioli-ilahi-oran,İlahi Oran Üzerine,Kutsal Geometri ve Mimari,pacioli ilahi
cesariano-vitruvius-serhi-insan-bedeni-daire-kare,"İnsan Bedeni, Daire ve Kare: Kutsal Tapınağın Ölçüsü",Kutsal Geometri ve Mimari,cesariano vitruvius
durer-insan-simetrisi,İnsan Bedeninin Simetrisi,Kutsal Geometri ve Mimari,durer insan
eckartshausen-mabedin-uzerindeki-bulut-alacakaranlik-cagi,Alacakaranlık Çağı: Mabedin Üzerindeki Bulut&#x27;tan Birinci Mektup,Mistik Teoloji,eckartshausen mabedin
al-muhasibi-riaya-allahin-hakkini-gozetmek-mistik-teoloji,"Allah&#x27;ın Hakkını Gözetmek: Vefa, Edep ve Mürüvvet",Mistik Teoloji,muhasibi riaya
weigel-altin-kavrayis-kendini-bilme,Altın Kavrayış: Kendini Bilmenin Aynası,Mistik Teoloji,weigel altin
evagrios-pontikos-arinmis-zihin-ve-dua,Arınmış Zihin ve Dikkati Dağılmayan Dua,Mistik Teoloji,evagrios pontikos
annie-besant-yogaya-giris-benlige-giden-yol,Benlik Yoluyla Benliğe Ulaşmak,Mistik Teoloji,annie besant
bilinmezlik-bulutu-uculuncu-bolum,Bilinmezlik Bulutu,Mistik Teoloji,bilinmezlik bulutu
bilinmezlik-bulutu-tefekkurun-merdiveni,Bilinmezlik Bulutu: Tefekkürün Merdiveni,Mistik Teoloji,bilinmezlik bulutu
pordage-theologia-mystica-buzulmus-goz,Büzülmüş Göz: Kendini Gizemine Kapatan Tanrı,Mistik Teoloji,pordage theologia
jane-lead-bahceler-cesmesi-cennet-kapisi,Cennet Kapısı Size Açık Duruyor,Mistik Teoloji,jane lead
cennet-ilahileri-bahcenin-sirlari-efraim,Cennet İlahileri: Bahçenin Sırları,Mistik Teoloji,cennet ilahileri
aphrahat-dua-uzerine-kanitlama,Dua Üzerine Kanıtlama: Yüreğin Arılığı,Mistik Teoloji,aphrahat uzerine
duanin-kisa-ve-kolay-yolu-guyon-yurek-duasi,Duanın Kısa ve Kolay Yolu: Yürek Duası,Mistik Teoloji,duanin kisa
william-law-duanin-ruhu,"Duanın Ruhu, Birinci Bölüm",Mistik Teoloji,william duanin
bourignon-dunyanin-isigi-son-merhamet,Dünyanın Işığı: Şamdana Konan Nur,Mistik Teoloji,bourignon dunyanin
henry-suso-ebedi-bilgelik-gelin,Ebedi Bilgelik: Gencin Ruhunu Tutuşturan Gelin,Mistik Teoloji,henry suso
khunrath-ebedi-hikmet,Ebedi Hikmetin Amfiteatrı,Mistik Teoloji,khunrath ebedi
suso-ebedi-hikmet-kitabi-mistik-teoloji,Ebedî Hikmet Sesleniyor: Çarmıhtan Konuşan Şefkat,Mistik Teoloji,suso ebedi
nesimi-divan-kamil-insan-ademe-secde,Ey İlâhî Kitab&#x27;ın Nüshası: Nesîmî&#x27;nin Dilinden Kâmil İnsan,Mistik Teoloji,nesimi divan
kempis-mesihin-taklidi-hakikatin-ogretisi-ic-hayat,Ezelî Kelâm&#x27;ın Konuştuğu Ruh: Hakikatin Öğretisi Üzerine,Mistik Teoloji,kempis mesihin
julian-of-norwich-findik-gorumu-ilahi-sevgi,Fındık Kadar Küçük Bir Şey: Julian&#x27;ın Görümü,Mistik Teoloji,julian norwich
dionysius-goksel-hiyerarsi,Göksel Hiyerarşi ve İlahi İsimler,Mistik Teoloji,dionysius goksel
saadi-gulistan-onsoz-sukur-ve-ilahi-merhamet,Gülistan: Önsöz — Şükür ve İlahi Merhamet,Mistik Teoloji,saadi gulistan
bar-hebraeus-guvercin-kitabi-kamillerin-ruhani-huzuru,Güvercin Kitabı: Kâmillerin Ruhani Huzuru,Mistik Teoloji,hebraeus guvercin
gazali-tasavvuf-hakikat-yolu,Hakikat Yolunun Öncüleri: Sufiler ve Kalbin Arınması,Mistik Teoloji,gazali tasavvuf
imitatio-christi-hakikat-ogretisi,Hakikatin Öğretisi Üzerine,Mistik Teoloji,imitatio christi
avilali-teresa-ruhun-mansiyonlari-hayat-pinari,Hayat Pınarı: Herkese Açık İlahi Su,Mistik Teoloji,avilali teresa
angela-foligno-hac-goruntusu-ates,Haçın Görüntüsü ve Sevginin Ateşi,Mistik Teoloji,angela foligno
ibn-arabi-arzular-tercumani-ask-dini,Kalbim Her Sûrete Açıldı,Mistik Teoloji,arabi arzular
clairvauxlu-bernard-tanriyi-sevmek-uzerine,Kalbin İçinde Mesih: Tanrıyı Sevmek ve Çarmıha Gerilenin Suretini Seyretmek,Mistik Teoloji,clairvauxlu bernard
haclimli-yahya-karanlik-gece-ilahi-birlesme,Karanlık Gece: Ruhun İlahi Birleşmeden Önceki Yok Oluşu,Mistik Teoloji,haclimli yahya
valentin-weigel-kendini-bil,Kendini Bil,Mistik Teoloji,valentin weigel
tauler-vaazlar-teslimiyet-derin-deniz,Kendini Tümüyle Tanrı&#x27;ya Bırakmak,Mistik Teoloji,tauler vaazlar
angelus-silesius-kerubi-yolcu-ruhun-duasi,Kerubî Yolcu: Ruh ile Dua,Mistik Teoloji,angelus silesius
maximos-mistagogia-kilise-tanrinin-sureti,Kilisenin Tanrı&#x27;nın Sureti ve Tipi Oluşu Üzerine,Mistik Teoloji,maximos mistagogia
al-sarraj-kitab-al-luma-sufi-marifeti-mistik-teoloji,Kitâbü&#x27;l-Luma&#x27;: Sûfînin Ledünnî Marifeti,Mistik Teoloji,sarraj kitab
bilinmezlik-bulutu-kusursuz-sevenlerin-mertebesi,Kusursuz Sevenlerin Mertebesine Yükseliş,Mistik Teoloji,bilinmezlik bulutu
nizami-leyla-mecnun-ilahi-ask-mistik-teoloji,Leylâ ile Mecnûn: Aşkın Hakikati ve Kutsallığı,Mistik Teoloji,nizami leyla
jami-lavaih-parilti-dort-fani-alem,Lâvâih: Işık Parıltıları (Dördüncü Parıltı),Mistik Teoloji,jami lavaih
filokalya-manastir-hayatinin-gizli-hazinesi,Manastır Hayatının Gizli Hazinesi: İç Dua Üzerine,Mistik Teoloji,filokalya manastir
diadokhos-fotikeli-manevi-bilgi-ve-ayirt-edis,Manevi Bilgi ve Ayırt Ediş Üzerine,Mistik Teoloji,diadokhos fotikeli
ruusbroec-manevi-nikah-ebedi-gunes-erdemlerin-suslenisi,Manevi Nikah: Ebedi Güneş ve Erdemlerin Süslenişi,Mistik Teoloji,ruusbroec manevi
kyrillos-mistagojik-vaazlar-serafim-ilahisi,Mistagojik Vaazlar: Serafim İlahisi ve Ruhun Çağrılışı,Mistik Teoloji,kyrillos mistagojik
areopagit-dionysius-mistik-ilahiyat-ilahi-karanlik,Mistik İlahiyat: İlahi Karanlık,Mistik Teoloji,areopagit dionysius
dionysius-mistik-teoloji-musanin-karanliga-cikisi,Musa&#x27;nın İlahi Karanlığa Çıkışı,Mistik Teoloji,dionysius mistik
swedenborg-heaven-and-hell-correspondence,Mütekabiliyet: Semanın Yeryüzündeki Aksi,Mistik Teoloji,swedenborg heaven
mesnevi-neyname-ayriligin-feryadi,Ney&#x27;in Feryadı: Ayrılığın Sırrı,Mistik Teoloji,mesnevi neyname
rumi-mesnevi-neyin-figani,Neyi Dinle: Ayrılığın Feryadı,Mistik Teoloji,rumi mesnevi
mesnevi-neyin-feryadi-mistik-ilahiyat,Neyin Feryadı: Mesnevi&#x27;nin Açılış Sözü,Mistik Teoloji,mesnevi neyin
gazali-nurlar-feneri-hakiki-nur-allahtir,Nurlar Feneri: Hakiki Nur Allah&#x27;tır,Mistik Teoloji,gazali nurlar
minucius-felix-octavius-tek-tanri-inayet,Octavius: Her Şeyin Babası Olan Tek Tanrı,Mistik Teoloji,minucius felix
ruusbroec-parildayan-tas-ilahi-birlesme-uc-yol,Parıldayan Taş: Tanrı ile Birleşmenin Üç Yolu,Mistik Teoloji,ruusbroec parildayan
ruh-ve-dirilis-uzerine-macrina-diyalogu,Ruh ve Diriliş Üzerine,Mistik Teoloji,dirilis uzerine
tertullianus-ruh-uzerine-olumsuzluk-ve-hakikat,Ruh Üzerine: Filozofların Kapısını Çalmayız,Mistik Teoloji,tertullianus uzerine
ruusbroec-ruhani-dugun-sonsuz-sevgi-denizi,Ruhani Düğün: Ruhun Üzerinde Asılı Duran Sonsuz Sevgi Denizi,Mistik Teoloji,ruusbroec ruhani
molinos-ruhsal-rehber-quietism,Ruhsal Rehber: İçsel Sessizliğin Yolu,Mistik Teoloji,molinos ruhsal
madame-guyon-ruhsal-seller,Ruhsal Seller,Mistik Teoloji,madame guyon
rumi-masnavi-dort-mertebe-mistik-teoloji,"Ruhun Dört Mertebesi: Şeriat, Tarikat, Marifet ve Hakikat",Mistik Teoloji,rumi masnavi
hacli-yahya-ruhun-karanlik-gecesi,Ruhun Karanlık Gecesi,Mistik Teoloji,hacli yahya
mechthild-magdeburg-tanrisalligin-akan-isigi,Ruhun Saraya Yolculuğu,Mistik Teoloji,mechthild magdeburg
makarios-vaazlar-kalp-tanri-tahti,Ruhun Tanrı&#x27;nın Tahtı Oluşu,Mistik Teoloji,makarios vaazlar
folignolu-angela-ruhun-tanri-goruntusu-mistik-teoloji,Ruhun Tanrı&#x27;yı Seyri: İlahi Teselli Kitabı&#x27;ndan,Mistik Teoloji,folignolu angela
hildegard-scivias-erdemlerin-oyunu-ruhun-yakarisi,Ruhun Yakarışı: Erdemler ve Tanrı Bilgisi Karşısında,Mistik Teoloji,hildegard scivias
tauler-ruhun-zemini-eternal-birth-ground-of-the-soul,Ruhun Zemini: Ebedî Doğuşun Sessiz Merkezi,Mistik Teoloji,tauler ruhun
gazali-saadet-kimyasi-nefs-bilgisi,Saadet Kimyası: Nefsini Bilen Rabbini Bilir,Mistik Teoloji,gazali saadet
hildegard-scivias-yasayan-isik-yollari-bil,Scivias: Yolları Bil ve Yaşayan Işığın Görüleri,Mistik Teoloji,hildegard scivias
gichtel-theosophia-practica-ilk-mektup-durup-savasmak,Sebat ve Savaş: Ruhun İçindeki Gömülü İnci,Mistik Teoloji,gichtel theosophia
itirafci-maksimos-sevgi-uzerine-bolumler-birinci-yuz,Sevgi Üzerine Yüz Bölüm: İlk Yüzlük,Mistik Teoloji,itirafci maksimos
iskenderiyeli-klemens-stromateis-hakiki-marifet,Stromateis: Hakiki Marifet,Mistik Teoloji,iskenderiyeli klemens
soz-un-bedenlenmesi-uzerine-tanrilasma-athanasios,Söz&#x27;ün Bedenlenmesi Üzerine: Ölümsüzlük Giysisi,Mistik Teoloji,bedenlenmesi uzerine
bayezid-bistami-subhani-shathiyat-kitab-al-luma,Sübhânî: Bâyezîd-i Bistâmî&#x27;nin Şathiyyâtı ve Onları Savunması,Mistik Teoloji,bayezid bistami
ninovali-ishak-sukunet-uzerine-mektup,Sükûnet Üzerine: Mar Anoş&#x27;a Mektup,Mistik Teoloji,ninovali ishak
nizami-sirlar-hazinesi-tevhid-ve-marifet-niyazi,Sırlar Hazinesi: Tevhit ve Marifet Niyazı,Mistik Teoloji,nizami sirlar
tanri-eri-mistik-teoloji-sems-i-tebrizi-divani,Tanrı Eri: Şarapsız Sarhoş Olan,Mistik Teoloji,tanri mistik
narsai-tanri-kelamesinin-inisi-ve-tek-ogul,Tanrı Kelâmının İnişi ve Tek Oğul,Mistik Teoloji,narsai tanri
ibn-arabi-tanri-ve-insan-mistik-teoloji,Tanrı ve İnsan: Kudret Sahibine Giden Yolun Kalbi,Mistik Teoloji,arabi tanri
samli-yuhanna-tanri-idrak-edilemez-ortodoks-iman,Tanrı İdrak Edilemezdir: Ortodoks İmanın Kesin Açıklaması,Mistik Teoloji,samli yuhanna
sebastian-franck-paradoxa-tanriyi-tanriyla-bilmek,Tanrı&#x27;yı Ancak Tanrı&#x27;yla Bilmek,Mistik Teoloji,sebastian franck
de-visione-dei-tanrinin-gorusu-cusa,Tanrının Görüşü (De Visione Dei),Mistik Teoloji,visione tanrinin
bernard-clairvaux-speculum-honestate-vitae-tanri-tefekkuru,Tanrının Tefekkürü Üzerine,Mistik Teoloji,bernard clairvaux
mechthild-magdeburg-akan-isik-tanrisal-dil,Tanrısallığın Akan Işığı: Tanrısal Dilin Sözü,Mistik Teoloji,mechthild magdeburg
kashf-al-mahjub-tasavvufun-hakiki-manasi-mistik-teoloji,Tasavvufun Hakiki Manası: Kalbin Saflığı Üzerine,Mistik Teoloji,kashf mahjub
al-hallaj-tavasin-birlik-ana-al-haqq,Tavasin: Birliğin Birliği ve Benliğin Yok Oluşu,Mistik Teoloji,hallaj tavasin
avilali-teresa-tefekkur-ilahi-birlesme,Tefekkür ve İlahi Birleşme,Mistik Teoloji,avilali teresa
dionysios-areopagit-ilahi-isimler-tefekkur-merdiveni,Tefekkürün Merdiveni: İlahi İsimler ve Bilinmeyene Yükseliş,Mistik Teoloji,dionysios areopagit
nizami-makhzan-al-asrar-tevhid-munacati,Tevhid ve Yakarış: Bir Sûfî Münâcâtı,Mistik Teoloji,nizami makhzan
merdivenli-yuhanna-tutkusuzluk-kalbin-huzuru,Tutkusuzluğun Sınavı: Mektupları Okumama Kararı,Mistik Teoloji,merdivenli yuhanna
meister-eckhart-uzletli-birlik-abgeschiedenheit,Uzletli Birlik: Tanrısallıkta Erimenin Yolu,Mistik Teoloji,meister eckhart
shabistari-gulsen-i-raz-varligin-aynasi,Varlığın Aynası: Gülşen-i Râz&#x27;dan Bir Pasaj,Mistik Teoloji,shabistari gulsen
porete-yalin-ruhlarin-aynasi-iradesiz-ruh,Yalın Ruhların Aynası: İradesiz Ruhun Huzuru,Mistik Teoloji,porete yalin
human-perdesi-ve-ilahi-esrar-hujwiri,Yaratılmışların Perdesi Ardındaki İlahi Esrar,Mistik Teoloji,human perdesi
attar-ilahi-nama-yedi-gogun-yaraticisi,Yedi Göğün Yaratıcısının Adıyla,Mistik Teoloji,attar ilahi
klemens-yunanlilara-ogut-soz-yeni-ezgi,Yeni Ezgi: Başlangıçtan Önce Var Olan Söz,Mistik Teoloji,klemens yunanlilara
hujwiri-kashf-al-mahjub-yoksulluk-ve-zenginlik,Yoksulluk ile Zenginlik Üzerine,Mistik Teoloji,hujwiri kashf
qushayri-risala-sufi-doctrine-decay-of-the-path,Yolun Bozuluşu ve Bir Risalenin Doğuşu: Sûfîlerin İtikadı Üzerine,Mistik Teoloji,qushayri risala
jami-yusuf-zeliha-ezeli-guzellik,Yusuf ve Zeliha: Ezelî Güzellik Üzerine,Mistik Teoloji,jami yusuf
jami-yusuf-zuleyha-ilahi-yakaris-mistik-teoloji,Yûsuf ve Züleyha: İlahî Yakarış,Mistik Teoloji,jami yusuf
llull-asik-ile-masuk-kitabi-baslangic,Âşık ile Mâşûk Kitabı: Başlangıç,Mistik Teoloji,llull asik
mabbuglu-filoksenos-ogrenciye-ogut-gorunen-gecici,"Öğrenciye Öğüt: Görünen Geçicidir, Görünmeyen Ebedidir",Mistik Teoloji,mabbuglu filoksenos
arafa-dair-risale-ilahi-askin-atesi-ruhun-aritilmasi,İlahi Aşkın Ateşi: Ruhun Sevgili&#x27;ye Doğru Arınışı,Mistik Teoloji,arafa dair
yeni-ilahiyatci-simeon-ilahi-isik-goruntusu-soylev,İlahi Işığın Görüntüsü Üzerine Söylev,Mistik Teoloji,yeni ilahiyatci
ilahi-karanlik-musanin-cikisi-gnophos,İlahi Karanlık: Musa&#x27;nın Bilinmezliğin Sisine Çıkışı,Mistik Teoloji,ilahi karanlik
saadi-bustan-ilahi-rizik-ve-hikmet,İlahi Rızık ve Gizli İnayet,Mistik Teoloji,saadi bustan
gertrude-helfta-herald-divine-love-mystical-theology,İlahi Sevginin Habercisi: Ruhun Övgüsü,Mistik Teoloji,gertrude helfta
sienali-catherine-ilahi-takdir-diyalogu,İlahi Takdir Diyaloğu,Mistik Teoloji,sienali catherine
dionysios-ilahi-isimler-tanrisal-birlesme,İlahi İsimler: Tanrısallıkla Birleşme Üzerine,Mistik Teoloji,dionysios ilahi
origenes-ilkeler-uzerine-ruhlarin-on-varligi,İlkeler Üzerine: Ruhların Ön-Varlığı ve İradenin Özgürlüğü,Mistik Teoloji,origenes ilkeler
gazali-dalaletten-kurtulus-ilahi-isik,İlâhî Işık: Kalbe İnen Kurtuluş,Mistik Teoloji,gazali dalaletten
attar-ilahi-nama-munacatvari-yakaris-ilk-son,İlâhî-Nâme: Münâcâtvârî Yakarış (Evvel ve Âhir Olan Sana),Mistik Teoloji,attar ilahi
eckhart-tanri-etkin-akil-yerine-gecince,İnsan Sükûnete Erdiğinde: Tanrı Etkin Aklın Yerine Geçince,Mistik Teoloji,eckhart tanri
ibn-arabi-insan-i-kamil-muhrun-nakisi,İnsan-ı Kâmil: Mührün Nakışı ve Âlemin Bekçisi,Mistik Teoloji,arabi insan
richard-rolle-iisa-adinin-atesi,İsa Adının Ateşi,Mistik Teoloji,richard rolle
isanin-taklidi-kempis-tevazu-ve-dunyanin-batiligi,İsa&#x27;nın Taklidi: Tevazu ve Dünyanın Batıllığı Üzerine,Mistik Teoloji,isanin taklidi
augustinus-itiraflar-ostia-goruntusu-tanriya-yukselis,İtiraflar: Ostia Görüntüsü,Mistik Teoloji,augustinus itiraflar
manevi-rehber-quietizm-icsel-sukunet-yolu,İçsel Sükûnetin Yolu: Sessizlikte İşiten Ruh,Mistik Teoloji,manevi rehber
ibn-al-farid-sarap-kasidesi-mistik-teoloji,Şarap Kasidesi: İbnü&#x27;l-Fârız ve Aşkın İlahi Sarhoşluğu,Mistik Teoloji,farid sarap
hafiz-divan-sirazli-guzel-gazeli,Şirazlı Güzel Gazeli,Mistik Teoloji,hafiz divan
virgil-aeneis-vi-yeralti-inisi,Aeneis VI: Yeraltına İniş,Mit ve Kutsal Anlatı,virgil aeneis
afrodite-homerik-ilahi-ida-daginda-arzu,Afrodit&#x27;e Homerik İlahi: İda Dağında Arzu,Mit ve Kutsal Anlatı,afrodite homerik
hesiodos-isler-ve-gunler-altin-soy,Altın Soy: İnsanlığın İlk Çağı,Mit ve Kutsal Anlatı,hesiodos isler
apollona-homerik-ilahi-delos-dogum,Apollon&#x27;a Homerik İlahi: Delos&#x27;ta Doğum ve Pytho&#x27;nun Kuruluşu,Mit ve Kutsal Anlatı,apollona homerik
apollonios-argonautika-altin-post-yolculugu,Argonautika: Altın Post Uğruna Yolculuğun Başlangıcı,Mit ve Kutsal Anlatı,apollonios argonautika
cooke-atalar-druid-dini-acik-hava-tapinaklari,Atalar Dini: Açık Hava Tapınakları ve Kutsal Korular,Mit ve Kutsal Anlatı,cooke atalar
atona-buyuk-ilahi-akhenaton-gunes-diski,Aton&#x27;a Büyük İlahi,Mit ve Kutsal Anlatı,atona buyuk
strabon-cografya-kutsal-yerler-kehanet-ammon,Coğrafya: Kutsal Yerler ve Kehanetin Sönüşü,Mit ve Kutsal Anlatı,strabon cografya
heliodoros-aethiopica-delphoi-kutsal-sehir,Delphoi&#x27;ye Varış: Apollon&#x27;a Adanmış Şehir,Mit ve Kutsal Anlatı,heliodoros aethiopica
homeros-demeter-ilahisi-persephone-kaciriliyor,Demeter&#x27;e İlahi: Kızın Kaçırılışı,Mit ve Kutsal Anlatı,homeros demeter
nonnos-dionysiaka-zagreus-parcalanma-ve-yeniden-dogus,Dionysiaka: Zagreus&#x27;un Parçalanışı ve Yeniden Doğuşu,Mit ve Kutsal Anlatı,nonnos dionysiaka
fulgentius-dokuz-ilham-perisi-bilginin-basamaklari,Dokuz İlham Perisi: Bilginin Basamakları,Mit ve Kutsal Anlatı,fulgentius dokuz
hyginus-fabulae-nessos-ve-kentauroslar,Efsaneler: Kentauroslar ve Nessos,Mit ve Kutsal Anlatı,hyginus fabulae
gilgamis-enkidunun-insanlasmasi,Enkidu&#x27;nun İnsanlaşması,Mit ve Kutsal Anlatı,gilgamis enkidunun
enuma-elis-goklerin-adsizligi,Enuma Eliş: Göklerin Henüz Adsız Olduğu Zaman,Mit ve Kutsal Anlatı,enuma elis
nonnus-dionysiaca-europa-boga-uzerinde-agit,Europa&#x27;nın Boğa Üzerindeki Ağıdı,Mit ve Kutsal Anlatı,nonnus dionysiaca
ovid-fasti-ianus-khaos-esigin-tanrisi,Fasti: Ianus&#x27;un Zuhuru ve Eşiğin Tanrısı,Mit ve Kutsal Anlatı,ovid fasti
orpheus-hymn-to-night-taylor-1787,Geceye İlahi,Mit ve Kutsal Anlatı,orpheus hymn
gilgamis-destani-tufan-ve-olumsuzluk,Gilgamış Destanı: Tufan ve Ölümsüzlük,Mit ve Kutsal Anlatı,gilgamis destani
cartari-antik-tanrilarin-suretleri-onikili-meclis,Göksel Meclisin On İki Tanrısı,Mit ve Kutsal Anlatı,cartari antik
musaios-hero-ile-leandros-kandili,Hero ile Leandros: Gizli Sevdaların Kandili,Mit ve Kutsal Anlatı,musaios hero
havamal-yuce-olanin-sozleri-sigir-olur-akraba-olur,Hávamál: Yüce Olan&#x27;ın Sözleri,Mit ve Kutsal Anlatı,havamal yuce
bryant-kadim-mitolojinin-yeni-sistemi,Kadim Mitolojinin Yeni Sistemi,Mit ve Kutsal Anlatı,bryant kadim
kalevala-vainamoinen-dunya-yumurtasi,Kalevala: Väinämöinen ve Dünya Yumurtası,Mit ve Kutsal Anlatı,kalevala vainamoinen
ovid-metamorphoses-kaosun-cozulusu,Kaosun Çözülüşü: Dünyanın Doğuşu,Mit ve Kutsal Anlatı,ovid metamorphoses
eleusis-kucuk-esrar-ruhun-olumu-taylor,Küçük Esrarlar ve Ruhun Ölümü,Mit ve Kutsal Anlatı,eleusis kucuk
mabinogion-pwyll-arawn-annwn-karsilasmasi,Mabinogion: Pwyll ile Annwn Kralı Arawn&#x27;ın Karşılaşması,Mit ve Kutsal Anlatı,mabinogion pwyll
diodoros-misir-tanrilari-osiris-isis-gunes-ve-ay,Mısır Tanrıları: Osiris ve İsis,Mit ve Kutsal Anlatı,diodoros misir
herodotos-misir-dini-tanrilar,Mısır&#x27;ın Tanrıları ve Tapınma Adetleri,Mit ve Kutsal Anlatı,herodotos misir
diodoros-misir-tanrilari-osiris-isis,Mısır&#x27;ın İlk Tanrıları: Güneş ile Ay,Mit ve Kutsal Anlatı,diodoros misir
snorri-nesir-edda-yggdrasil-dunya-agaci,Nesir Edda: Dünya Ağacı Yggdrasil ve Mímir&#x27;in Kuyusu,Mit ve Kutsal Anlatı,snorri nesir
berossos-babyloniaka-oannes-balik-bilge-tufan-oncesi,Oannes: Sulardan Yükselen Balık Bilge,Mit ve Kutsal Anlatı,berossos babyloniaka
saxo-odin-altin-suret-ve-sahte-tanrilik,Odin&#x27;in Altın Sureti ve Sahte Tanrılığı,Mit ve Kutsal Anlatı,saxo odin
odysseia-xi-olulerin-cagrilmasi-nekyia,Odysseia XI: Ölülerin Çağrılması,Mit ve Kutsal Anlatı,odysseia olulerin
berossos-babyloniaka-omoroka-belos-yaratilis,Omoroka&#x27;nın İkiye Bölünüşü: Belos ve Dünyanın Yaratılışı,Mit ve Kutsal Anlatı,berossos babyloniaka
orfik-argonautika-erginlenme-gizemleri,Orfik Argonautika: Erginlenmenin Şarkısı,Mit ve Kutsal Anlatı,orfik argonautika
orfik-ilahiler-protogonos-phanes-ilk-dogan-isik,"Orfik İlahiler: Protogonos, İlk Doğan ve Yumurtadan Çıkan Işık",Mit ve Kutsal Anlatı,orfik ilahiler
plutarkhos-isis-ve-osiris-osirisin-sandiga-kapatilmasi,Osiris&#x27;in Sandığa Kapatılması,Mit ve Kutsal Anlatı,plutarkhos isis
